,name_x,searched_longitude,searched_latitude,number of bikes,name_y,location,rating,distance,review_count,price
47,GRANGEGORMAN LOWER (SOUTH),-6.278681,53.354663,40,F.X.Buckley,2 Crow Street,4.6,1487.9388621070968,120,€€€
48,GRANGEGORMAN LOWER (SOUTH),-6.278681,53.354663,40,Pichet,14-15 Trinity Street,4.3,1589.542452052964,116,€€€
49,GRANGEGORMAN LOWER (SOUTH),-6.278681,53.354663,40,Bunsen,22 Essex Street E,4.5,1379.7838010516132,215,€€
50,SMITHFIELD,-6.278214,53.347692,30,The Brazen Head,20 Bridge Street Lower,4.2,327.4653800706453,906,€€€
51,SMITHFIELD,-6.278214,53.347692,30,The Boxty House,20-21 Temple Bar,4.3,1084.384335759762,1231,€€€
52,SMITHFIELD,-6.278214,53.347692,30,Fish Shop,76 Benburb Street,4.6,253.41866115494565,62,
53,SMITHFIELD,-6.278214,53.347692,30,L Mulligan Grocer,18 Stoneybatter,4.3,510.5380072588693,215,€€
54,SMITHFIELD,-6.278214,53.347692,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,1037.9712654173416,229,€€
55,SMITHFIELD,-6.278214,53.347692,30,IL Vicoletto,5 Crow Street,4.5,1021.772202846788,131,€€€
56,SMITHFIELD,-6.278214,53.347692,30,Darkey Kellys,Hotel Harding,4.6,684.0998925277222,263,€€
57,SMITHFIELD,-6.278214,53.347692,30,Wuff,23 Benburb Street,4.4,282.0936462587658,132,€€
58,SMITHFIELD,-6.278214,53.347692,30,The Bank on College Green,20-22 College Green,4.4,1173.1102783086262,441,€€€
59,SMITHFIELD,-6.278214,53.347692,30,Phx Bistro,12 Ellis Quay,4.6,239.5083009738565,64,€€
60,YORK STREET EAST,-6.262003,53.338755,32,Sheehans,17 Chatham Street,4.5,246.40808190638649,150,€€
61,YORK STREET EAST,-6.262003,53.338755,32,The Boxty House,20-21 Temple Bar,4.3,774.5338146527301,1231,€€€
62,YORK STREET EAST,-6.262003,53.338755,32,Las Tapas de Lola,12 Wexford Street,4.5,299.86598976640784,121,€€
63,YORK STREET EAST,-6.262003,53.338755,32,The Hairy Lemon,Stephen Street,4.1,302.8683472363505,399,€€
64,YORK STREET EAST,-6.262003,53.338755,32,Featherblade,51B Dawson Street,4.4,402.1019941058909,122,€€
65,YORK STREET EAST,-6.262003,53.338755,32,Shanahan's On The Green,119 St. Stephens Green,4.4,39.48358999569396,77,€€€€
66,YORK STREET EAST,-6.262003,53.338755,32,The Greenhouse,19 Dawson Street,4.5,276.74923808487773,51,€€€€
67,YORK STREET EAST,-6.262003,53.338755,32,The Pig's Ear,4 Nassau Street,4.3,621.7792288572555,238,€€€
68,YORK STREET EAST,-6.262003,53.338755,32,Bunsen,3 Anne Street S,4.7,303.93112552373617,77,€€
69,YORK STREET EAST,-6.262003,53.338755,32,Beanhive,26 Dawson Street,4.6,245.22388904541856,135,€€
70,CLARENDON ROW,-6.262501,53.340927,31,Sheehans,17 Chatham Street,4.5,48.07272814470305,150,€€
71,CLARENDON ROW,-6.262501,53.340927,31,The Boxty House,20-21 Temple Bar,4.3,533.2264434480925,1231,€€€
72,CLARENDON ROW,-6.262501,53.340927,31,The Hairy Lemon,Stephen Street,4.1,98.65464528361302,399,€€
73,CLARENDON ROW,-6.262501,53.340927,31,Featherblade,51B Dawson Street,4.4,285.05090753153115,122,€€
74,CLARENDON ROW,-6.262501,53.340927,31,Platform 61,27 William Street South,4.5,84.5198005009652,36,€€
75,CLARENDON ROW,-6.262501,53.340927,31,The Ramen Bar,Kokoro,4.2,79.0180033935261,161,€€
76,CLARENDON ROW,-6.262501,53.340927,31,San Lorenzo's,"Unit 9, Castle House",4.3,313.7354691453303,152,€€
