,name,location,rating,distance,review_count,price,searched_latitude,searched_longitude
64,Featherblade,51B Dawson Street,4.4,402.1019941058909,122,€€,53.338755,-6.262003
65,Shanahan's On The Green,119 St. Stephens Green,4.4,39.48358999569396,77,€€€€,53.338755,-6.262003
66,The Greenhouse,19 Dawson Street,4.5,276.74923808487773,51,€€€€,53.338755,-6.262003
67,The Pig's Ear,4 Nassau Street,4.3,621.7792288572555,238,€€€,53.338755,-6.262003
68,Bunsen,3 Anne Street S,4.7,303.93112552373617,77,€€,53.338755,-6.262003
69,Beanhive,26 Dawson Street,4.6,245.22388904541856,135,€€,53.338755,-6.262003
70,Sheehans,17 Chatham Street,4.5,48.07272814470305,150,€€,53.340927,-6.262501
71,The Boxty House,20-21 Temple Bar,4.3,533.2264434480925,1231,€€€,53.340927,-6.262501
72,The Hairy Lemon,Stephen Street,4.1,98.65464528361302,399,€€,53.340927,-6.262501
73,Featherblade,51B Dawson Street,4.4,285.05090753153115,122,€€,53.340927,-6.262501
74,Platform 61,27 William Street South,4.5,84.5198005009652,36,€€,53.340927,-6.262501
75,The Ramen Bar,Kokoro,4.2,79.0180033935261,161,€€,53.340927,-6.262501
76,San Lorenzo's,"Unit 9, Castle House",4.3,313.7354691453303,152,€€,53.340927,-6.262501
77,Bunsen,3 Anne Street S,4.7,163.1723217079221,77,€€,53.340927,-6.262501
78,Rustic Stone,17 S Great Georges Street,3.8,249.5052611172962,206,€€€,53.340927,-6.262501
79,Pichet,14-15 Trinity Street,4.3,356.8939943586954,116,€€€,53.340927,-6.262501
80,Bleecker Street Cafe Bar,68 Dorset Street,4.6,157.79902706648068,58,€€,53.358115,-6.265601
81,The Boxty House,20-21 Temple Bar,4.3,1396.52017666594,1231,€€€,53.358115,-6.265601
82,The Old Mill Restaurant,14 Temple Bar Square,4.5,1377.886282214319,229,€€,53.358115,-6.265601
83,F.X.Buckley,2 Crow Street,4.6,1505.3125887183678,120,€€€,53.358115,-6.265601
84,L Mulligan Grocer,18 Stoneybatter,4.3,1361.2045556228657,215,€€,53.358115,-6.265601
85,Bunsen,22 Essex Street E,4.5,1394.788265244879,215,€€,53.358115,-6.265601
86,Klaw,5A Crown Alley,4.4,1432.256412122909,180,€€,53.358115,-6.265601
87,Chapter One,Basement of The Writers Museum,4.5,426.682170595804,111,€€€€,53.358115,-6.265601
88,The Brazen Head,20 Bridge Street Lower,4.2,1625.8585919021887,906,€€€,53.358115,-6.265601
89,The Quays Irish Restaurant,10-12 Temple Bar Square,4.2,1390.6513063909858,239,€€,53.358115,-6.265601
90,The Boxty House,20-21 Temple Bar,4.3,905.621520175818,1231,€€€,53.350291,-6.273507
91,The Old Mill Restaurant,14 Temple Bar Square,4.5,861.7567891763472,229,€€,53.350291,-6.273507
92,L Mulligan Grocer,18 Stoneybatter,4.3,625.7625768636768,215,€€,53.350291,-6.273507
93,The Brazen Head,20 Bridge Street Lower,4.2,620.5943487242366,906,€€€,53.350291,-6.273507
94,Arisu Korean Restaurant,119-120 Capel Street,4.0,331.13196812024495,88,€€,53.350291,-6.273507
95,IL Vicoletto,5 Crow Street,4.5,911.884336730399,131,€€€,53.350291,-6.273507
96,Darkey Kellys,Hotel Harding,4.6,745.0867043274742,263,€€,53.350291,-6.273507
97,The Pig's Ear,4 Nassau Street,4.3,1529.1061239273683,238,€€€,53.350291,-6.273507
98,Bunsen,22 Essex Street E,4.5,794.139747793682,215,€€,53.350291,-6.273507
99,The Bank on College Green,20-22 College Green,4.4,1039.774382909727,441,€€€,53.350291,-6.273507
100,The Pig's Ear,4 Nassau Street,4.3,1429.5361099077672,238,€€€,53.344153,-6.233451
101,Charlotte Quay,Charlotte Quay Dock Millennium Tower,4.3,273.2490079619532,24,€€€,53.344153,-6.233451
102,Paulie's Pizza,58 Grand Canal Street,4.5,747.1153220166402,185,€€,53.344153,-6.233451
103,The Marker Hotel,Grand Canal Square,4.1,352.6205182985833,86,€€€,53.344153,-6.233451
104,The Sussex,8/9 Sussex Terrace,4.7,1866.767882535638,53,€€€,53.344153,-6.233451
105,Nutbutter,Forbes St,4.6,311.06248620566754,25,,53.344153,-6.233451
106,Herbstreet,Hanover Quay,4.1,286.5222956953323,172,€€,53.344153,-6.233451
107,FX Buckley,1A Lower Pembroke St,4.3,1406.5313248416883,95,€€€,53.344153,-6.233451
108,Pearl Brasserie,20 Upper Merrion Street,4.5,1457.6503449962097,74,€€€,53.344153,-6.233451
109,The Old Spot,14 Bath Avenue,4.5,756.7639027709057,48,€€€,53.344153,-6.233451
110,The Boxty House,20-21 Temple Bar,4.3,1504.1208478428082,1231,€€€,53.355173,-6.278424
111,L Mulligan Grocer,18 Stoneybatter,4.3,508.37756718474606,215,€€,53.355173,-6.278424
112,The Old Mill Restaurant,14 Temple Bar Square,4.5,1463.6605131220012,229,€€,53.355173,-6.278424
113,IL Vicoletto,5 Crow Street,4.5,1534.025382440345,131,€€€,53.355173,-6.278424
114,The Bank on College Green,20-22 College Green,4.4,1651.2427571277663,441,€€€,53.355173,-6.278424
115,Featherblade,51B Dawson Street,4.4,2007.2364919256372,122,€€,53.355173,-6.278424
